Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.288136,0.531250,0.373626,0.143345,0.051195,0.058020,0.747440,293.000000,182
0.142857,0.968750,0.248996,0.634812,0.003413,0.105802,0.255973,293.000000,182
0.289855,0.625000,0.396040,0.167235,0.040956,0.068259,0.723549,293.000000,182
0.226804,0.687500,0.341085,0.255973,0.034130,0.075085,0.634812,293.000000,182
0.247312,0.718750,0.368000,0.238908,0.030717,0.078498,0.651877,293.000000,182
0.198276,0.718750,0.310811,0.317406,0.030717,0.078498,0.573379,293.000000,182
0.377358,0.625000,0.470588,0.112628,0.040956,0.068259,0.778157,293.000000,182
0.190476,0.750000,0.303797,0.348123,0.027304,0.081911,0.542662,293.000000,182
0.190476,0.750000,0.303797,0.348123,0.027304,0.081911,0.542662,293.000000,182
0.263158,0.625000,0.370370,0.191126,0.040956,0.068259,0.699659,293.000000,182
0.372549,0.593750,0.457831,0.109215,0.044369,0.064846,0.781570,293.000000,182
0.377358,0.625000,0.470588,0.112628,0.040956,0.068259,0.778157,293.000000,182
0.312500,0.625000,0.416667,0.150171,0.040956,0.068259,0.740614,293.000000,182
0.289855,0.625000,0.396040,0.167235,0.040956,0.068259,0.723549,293.000000,182
0.305556,0.687500,0.423077,0.170648,0.034130,0.075085,0.720137,293.000000,182
0.350000,0.656250,0.456522,0.133106,0.037543,0.071672,0.757679,293.000000,182
0.180556,0.812500,0.295455,0.402730,0.020478,0.088737,0.488055,293.000000,182
0.357143,0.625000,0.454545,0.122867,0.040956,0.068259,0.767918,293.000000,182
0.236111,0.531250,0.326923,0.187713,0.051195,0.058020,0.703072,293.000000,182
0.273973,0.625000,0.380952,0.180887,0.040956,0.068259,0.709898,293.000000,182
