Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
NaN,0.000000,NaN,0.000000,0.355263,0.000000,0.644737,608.000000,177
NaN,0.000000,NaN,0.000000,0.355263,0.000000,0.644737,608.000000,177
NaN,0.000000,NaN,0.000000,0.355263,0.000000,0.644737,608.000000,177
NaN,0.000000,NaN,0.000000,0.355263,0.000000,0.644737,608.000000,177
NaN,0.000000,NaN,0.000000,0.355263,0.000000,0.644737,608.000000,177
NaN,0.000000,NaN,0.000000,0.355263,0.000000,0.644737,608.000000,177
0.445946,0.305556,0.362637,0.134868,0.246711,0.108553,0.509868,608.000000,177
NaN,0.000000,NaN,0.000000,0.355263,0.000000,0.644737,608.000000,177
0.511628,0.203704,0.291391,0.069079,0.282895,0.072368,0.575658,608.000000,177
NaN,0.000000,NaN,0.000000,0.355263,0.000000,0.644737,608.000000,177
NaN,0.000000,NaN,0.000000,0.355263,0.000000,0.644737,608.000000,177
0.425000,0.078704,0.132813,0.037829,0.327303,0.027961,0.606908,608.000000,177
NaN,0.000000,NaN,0.000000,0.355263,0.000000,0.644737,608.000000,177
0.481481,0.240741,0.320988,0.092105,0.269737,0.085526,0.552632,608.000000,177
NaN,0.000000,NaN,0.000000,0.355263,0.000000,0.644737,608.000000,177
NaN,0.000000,NaN,0.000000,0.355263,0.000000,0.644737,608.000000,177
NaN,0.000000,NaN,0.000000,0.355263,0.000000,0.644737,608.000000,177
0.472973,0.162037,0.241379,0.064145,0.297697,0.057566,0.580592,608.000000,177
NaN,0.000000,NaN,0.000000,0.355263,0.000000,0.644737,608.000000,177
NaN,0.000000,NaN,0.000000,0.355263,0.000000,0.644737,608.000000,177
