Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.468254,0.273148,0.345029,0.110197,0.258224,0.097039,0.534539,608.000000,82
NaN,0.000000,NaN,0.000000,0.355263,0.000000,0.644737,608.000000,82
NaN,0.000000,NaN,0.000000,0.355263,0.000000,0.644737,608.000000,82
NaN,0.000000,NaN,0.000000,0.355263,0.000000,0.644737,608.000000,82
NaN,0.000000,NaN,0.000000,0.355263,0.000000,0.644737,608.000000,82
NaN,0.000000,NaN,0.000000,0.355263,0.000000,0.644737,608.000000,82
0.777778,0.064815,0.119658,0.006579,0.332237,0.023026,0.638158,608.000000,82
NaN,0.000000,NaN,0.000000,0.355263,0.000000,0.644737,608.000000,82
0.465116,0.092593,0.154440,0.037829,0.322368,0.032895,0.606908,608.000000,82
0.398305,0.217593,0.281437,0.116776,0.277961,0.077303,0.527961,608.000000,82
NaN,0.000000,NaN,0.000000,0.355263,0.000000,0.644737,608.000000,82
0.394737,0.069444,0.118110,0.037829,0.330592,0.024671,0.606908,608.000000,82
0.434783,0.046296,0.083682,0.021382,0.338816,0.016447,0.623355,608.000000,82
0.510204,0.115741,0.188679,0.039474,0.314145,0.041118,0.605263,608.000000,82
0.583333,0.064815,0.116667,0.016447,0.332237,0.023026,0.628289,608.000000,82
NaN,0.000000,NaN,0.000000,0.355263,0.000000,0.644737,608.000000,82
0.625000,0.069444,0.125000,0.014803,0.330592,0.024671,0.629934,608.000000,82
NaN,0.000000,NaN,0.000000,0.355263,0.000000,0.644737,608.000000,82
0.483871,0.138889,0.215827,0.052632,0.305921,0.049342,0.592105,608.000000,82
0.550000,0.101852,0.171875,0.029605,0.319079,0.036184,0.615132,608.000000,82
