Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.200000,0.375000,0.260870,0.136364,0.056818,0.034091,0.772727,88.000000,153
0.175000,0.875000,0.291667,0.375000,0.011364,0.079545,0.534091,88.000000,153
0.100000,0.833333,0.178571,0.511364,0.011364,0.056818,0.420455,88.000000,153
0.079365,0.833333,0.144928,0.659091,0.011364,0.056818,0.272727,88.000000,153
0.134615,0.777778,0.229508,0.511364,0.022727,0.079545,0.386364,88.000000,153
0.218750,0.636364,0.325581,0.284091,0.045455,0.079545,0.590909,88.000000,153
0.212121,0.875000,0.341463,0.295455,0.011364,0.079545,0.613636,88.000000,153
0.388889,0.583333,0.466667,0.125000,0.056818,0.079545,0.738636,88.000000,153
0.100000,0.333333,0.153846,0.204545,0.045455,0.022727,0.727273,88.000000,153
0.200000,0.875000,0.325581,0.318182,0.011364,0.079545,0.590909,88.000000,153
0.600000,0.750000,0.666667,0.045455,0.022727,0.068182,0.863636,88.000000,153
0.173913,0.800000,0.285714,0.431818,0.022727,0.090909,0.454545,88.000000,153
0.125000,1.000000,0.222222,0.875000,0.000000,0.125000,0.000000,88.000000,153
0.357143,0.625000,0.454545,0.102273,0.034091,0.056818,0.806818,88.000000,153
0.615385,0.615385,0.615385,0.056818,0.056818,0.090909,0.795455,88.000000,153
NaN,0.000000,NaN,0.000000,0.147727,0.000000,0.852273,88.000000,153
0.090909,1.000000,0.166667,0.909091,0.000000,0.090909,0.000000,88.000000,153
0.428571,0.428571,0.428571,0.045455,0.045455,0.034091,0.875000,88.000000,153
0.066667,1.000000,0.125000,0.636364,0.000000,0.045455,0.318182,88.000000,153
0.125000,1.000000,0.222222,0.875000,0.000000,0.125000,0.000000,88.000000,153
