Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.235294,0.500000,0.320000,0.147727,0.045455,0.045455,0.761364,88.000000,205
0.090909,1.000000,0.166667,0.909091,0.000000,0.090909,0.000000,88.000000,205
0.096774,0.500000,0.162162,0.318182,0.034091,0.034091,0.613636,88.000000,205
0.076923,0.833333,0.140845,0.681818,0.011364,0.056818,0.250000,88.000000,205
0.134615,0.777778,0.229508,0.511364,0.022727,0.079545,0.386364,88.000000,205
0.193548,0.545455,0.285714,0.284091,0.056818,0.068182,0.590909,88.000000,205
0.090909,1.000000,0.166667,0.909091,0.000000,0.090909,0.000000,88.000000,205
0.400000,0.666667,0.500000,0.136364,0.045455,0.090909,0.727273,88.000000,205
0.125000,0.333333,0.181818,0.159091,0.045455,0.022727,0.772727,88.000000,205
0.294118,0.625000,0.400000,0.136364,0.034091,0.056818,0.772727,88.000000,205
0.333333,0.625000,0.434783,0.113636,0.034091,0.056818,0.795455,88.000000,205
0.192308,0.500000,0.277778,0.238636,0.056818,0.056818,0.647727,88.000000,205
0.125000,1.000000,0.222222,0.875000,0.000000,0.125000,0.000000,88.000000,205
0.134615,0.875000,0.233333,0.511364,0.011364,0.079545,0.397727,88.000000,205
0.666667,0.615385,0.640000,0.045455,0.056818,0.090909,0.806818,88.000000,205
0.500000,0.615385,0.551724,0.090909,0.056818,0.090909,0.761364,88.000000,205
0.200000,0.625000,0.303030,0.227273,0.034091,0.056818,0.681818,88.000000,205
0.173913,0.571429,0.266667,0.215909,0.034091,0.045455,0.704545,88.000000,205
0.061538,1.000000,0.115942,0.693182,0.000000,0.045455,0.261364,88.000000,205
0.428571,0.818182,0.562500,0.136364,0.022727,0.102273,0.738636,88.000000,205
