Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.115942,0.615385,0.195122,0.179941,0.014749,0.023599,0.781711,339.000000,610
0.106667,0.615385,0.181818,0.197640,0.014749,0.023599,0.764012,339.000000,610
0.106667,0.615385,0.181818,0.197640,0.014749,0.023599,0.764012,339.000000,610
0.106667,0.615385,0.181818,0.197640,0.014749,0.023599,0.764012,339.000000,610
0.115942,0.615385,0.195122,0.179941,0.014749,0.023599,0.781711,339.000000,610
0.108434,0.692308,0.187500,0.218289,0.011799,0.026549,0.743363,339.000000,610
0.136364,0.230769,0.171429,0.056047,0.029499,0.008850,0.905605,339.000000,610
0.095745,0.692308,0.168224,0.250737,0.011799,0.026549,0.710914,339.000000,610
0.115942,0.615385,0.195122,0.179941,0.014749,0.023599,0.781711,339.000000,610
0.106667,0.615385,0.181818,0.197640,0.014749,0.023599,0.764012,339.000000,610
0.115942,0.615385,0.195122,0.179941,0.014749,0.023599,0.781711,339.000000,610
0.106667,0.615385,0.181818,0.197640,0.014749,0.023599,0.764012,339.000000,610
0.106667,0.615385,0.181818,0.197640,0.014749,0.023599,0.764012,339.000000,610
0.123077,0.615385,0.205128,0.168142,0.014749,0.023599,0.793510,339.000000,610
0.106667,0.615385,0.181818,0.197640,0.014749,0.023599,0.764012,339.000000,610
0.115942,0.615385,0.195122,0.179941,0.014749,0.023599,0.781711,339.000000,610
0.095745,0.692308,0.168224,0.250737,0.011799,0.026549,0.710914,339.000000,610
0.115942,0.615385,0.195122,0.179941,0.014749,0.023599,0.781711,339.000000,610
0.115942,0.615385,0.195122,0.179941,0.014749,0.023599,0.781711,339.000000,610
0.095745,0.692308,0.168224,0.250737,0.011799,0.026549,0.710914,339.000000,610
