Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.600000,0.470588,0.527473,0.071429,0.120536,0.107143,0.700893,224.000000,390
0.543478,0.543478,0.543478,0.093750,0.093750,0.111607,0.700893,224.000000,390
0.483333,0.674419,0.563107,0.138393,0.062500,0.129464,0.669643,224.000000,390
0.546875,0.714286,0.619469,0.129464,0.062500,0.156250,0.651786,224.000000,390
0.493151,0.750000,0.595041,0.165179,0.053571,0.160714,0.620536,224.000000,390
0.617021,0.580000,0.597938,0.080357,0.093750,0.129464,0.696429,224.000000,390
0.512195,0.600000,0.552632,0.089286,0.062500,0.093750,0.754464,224.000000,390
0.397590,0.804878,0.532258,0.223214,0.035714,0.147321,0.593750,224.000000,390
0.506329,0.727273,0.597015,0.174107,0.066964,0.178571,0.580357,224.000000,390
0.595238,0.462963,0.520833,0.075893,0.129464,0.111607,0.683036,224.000000,390
0.609756,0.543478,0.574713,0.071429,0.093750,0.111607,0.723214,224.000000,390
0.652174,0.612245,0.631579,0.071429,0.084821,0.133929,0.709821,224.000000,390
0.492537,0.673469,0.568966,0.151786,0.071429,0.147321,0.629464,224.000000,390
0.589286,0.568966,0.578947,0.102679,0.111607,0.147321,0.638393,224.000000,390
0.531250,0.641509,0.581197,0.133929,0.084821,0.151786,0.629464,224.000000,390
0.659574,0.596154,0.626263,0.071429,0.093750,0.138393,0.696429,224.000000,390
0.515152,0.641509,0.571429,0.142857,0.084821,0.151786,0.620536,224.000000,390
0.608696,0.538462,0.571429,0.080357,0.107143,0.125000,0.687500,224.000000,390
0.622642,0.673469,0.647059,0.089286,0.071429,0.147321,0.691964,224.000000,390
0.609756,0.543478,0.574713,0.071429,0.093750,0.111607,0.723214,224.000000,390
