Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
NaN,0.000000,NaN,0.000000,0.355263,0.000000,0.644737,608.000000,61
0.415929,0.217593,0.285714,0.108553,0.277961,0.077303,0.536184,608.000000,61
0.481481,0.180556,0.262626,0.069079,0.291118,0.064145,0.575658,608.000000,61
0.355263,1.000000,0.524272,0.644737,0.000000,0.355263,0.000000,608.000000,61
0.384615,0.509259,0.438247,0.289474,0.174342,0.180921,0.355263,608.000000,61
0.413333,0.143519,0.213058,0.072368,0.304276,0.050987,0.572368,608.000000,61
0.660000,0.152778,0.248120,0.027961,0.300987,0.054276,0.616776,608.000000,61
0.350711,0.342593,0.346604,0.225329,0.233553,0.121711,0.419408,608.000000,61
NaN,0.000000,NaN,0.000000,0.355263,0.000000,0.644737,608.000000,61
NaN,0.000000,NaN,0.000000,0.355263,0.000000,0.644737,608.000000,61
0.355263,1.000000,0.524272,0.644737,0.000000,0.355263,0.000000,608.000000,61
NaN,0.000000,NaN,0.000000,0.355263,0.000000,0.644737,608.000000,61
0.355263,1.000000,0.524272,0.644737,0.000000,0.355263,0.000000,608.000000,61
NaN,0.000000,NaN,0.000000,0.355263,0.000000,0.644737,608.000000,61
NaN,0.000000,NaN,0.000000,0.355263,0.000000,0.644737,608.000000,61
0.324000,0.375000,0.347639,0.277961,0.222039,0.133224,0.366776,608.000000,61
NaN,0.000000,NaN,0.000000,0.355263,0.000000,0.644737,608.000000,61
NaN,0.000000,NaN,0.000000,0.355263,0.000000,0.644737,608.000000,61
NaN,0.000000,NaN,0.000000,0.355263,0.000000,0.644737,608.000000,61
0.355263,1.000000,0.524272,0.644737,0.000000,0.355263,0.000000,608.000000,61
