Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.211111,0.593750,0.311475,0.242321,0.044369,0.064846,0.648464,293.000000,85
0.186992,0.718750,0.296774,0.341297,0.030717,0.078498,0.549488,293.000000,85
0.357143,0.625000,0.454545,0.122867,0.040956,0.068259,0.767918,293.000000,85
0.278481,0.687500,0.396396,0.194539,0.034130,0.075085,0.696246,293.000000,85
0.312500,0.625000,0.416667,0.150171,0.040956,0.068259,0.740614,293.000000,85
0.214953,0.718750,0.330935,0.286689,0.030717,0.078498,0.604096,293.000000,85
0.327869,0.625000,0.430108,0.139932,0.040956,0.068259,0.750853,293.000000,85
0.357143,0.625000,0.454545,0.122867,0.040956,0.068259,0.767918,293.000000,85
NaN,0.000000,NaN,0.000000,0.109215,0.000000,0.890785,293.000000,85
0.263158,0.625000,0.370370,0.191126,0.040956,0.068259,0.699659,293.000000,85
0.244186,0.656250,0.355932,0.221843,0.037543,0.071672,0.668942,293.000000,85
0.200000,0.812500,0.320988,0.354949,0.020478,0.088737,0.535836,293.000000,85
0.322581,0.625000,0.425532,0.143345,0.040956,0.068259,0.747440,293.000000,85
0.166667,0.843750,0.278351,0.460751,0.017065,0.092150,0.430034,293.000000,85
0.263158,0.625000,0.370370,0.191126,0.040956,0.068259,0.699659,293.000000,85
NaN,0.000000,NaN,0.000000,0.109215,0.000000,0.890785,293.000000,85
NaN,0.000000,NaN,0.000000,0.109215,0.000000,0.890785,293.000000,85
0.174194,0.843750,0.288770,0.436860,0.017065,0.092150,0.453925,293.000000,85
0.531250,0.531250,0.531250,0.051195,0.051195,0.058020,0.839590,293.000000,85
0.350000,0.656250,0.456522,0.133106,0.037543,0.071672,0.757679,293.000000,85
